============================================================== BACKTESTING REPORT ==============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
|     ETC/USDT |        26 |          -0.09 |          -2.40 |           -24.002 |          -0.24 |          4:38:00 |    17     0     9  65.4 |
|    QTUM/USDT |         1 |          -4.01 |          -4.01 |           -40.081 |          -0.40 |          9:45:00 |     0     0     1     0 |
|    ROSE/USDT |         1 |          -4.03 |          -4.03 |           -40.302 |          -0.40 |          0:45:00 |     0     0     1     0 |
|     XEM/USDT |         7 |          -0.58 |          -4.06 |           -40.581 |          -0.41 |   1 day, 7:25:00 |     4     0     3  57.1 |
|     ENJ/USDT |         4 |          -1.02 |          -4.09 |           -40.867 |          -0.41 |          4:32:00 |     2     0     2  50.0 |
|    GALA/USDT |         7 |          -0.58 |          -4.09 |           -40.884 |          -0.41 |          6:54:00 |     4     0     3  57.1 |
|     TRB/USDT |        10 |          -0.43 |          -4.27 |           -42.693 |          -0.43 |         11:57:00 |     6     0     4  60.0 |
|     CHZ/USDT |        16 |          -0.27 |          -4.27 |           -42.761 |          -0.43 |          8:40:00 |    10     0     6  62.5 |
|     MKR/USDT |        25 |          -0.17 |          -4.35 |           -43.556 |          -0.44 |         11:13:00 |    16     0     9  64.0 |
|    CELO/USDT |         7 |          -0.62 |          -4.37 |           -43.649 |          -0.44 |         11:07:00 |     4     0     3  57.1 |
|     ZIL/USDT |         3 |          -2.03 |          -6.08 |           -60.824 |          -0.61 |         17:53:00 |     1     0     2  33.3 |
|     VET/USDT |         3 |          -2.03 |          -6.10 |           -60.974 |          -0.61 |         12:55:00 |     1     0     2  33.3 |
|   SPELL/USDT |         6 |          -1.02 |          -6.10 |           -60.981 |          -0.61 |          9:28:00 |     3     0     3  50.0 |
|    RUNE/USDT |         3 |          -2.05 |          -6.14 |           -61.393 |          -0.61 |         14:38:00 |     1     0     2  33.3 |
|     FTM/USDT |         6 |          -1.03 |          -6.16 |           -61.600 |          -0.62 |          3:32:00 |     3     0     3  50.0 |
|    HBAR/USDT |         9 |          -0.69 |          -6.19 |           -61.906 |          -0.62 |          6:01:00 |     5     0     4  55.6 |
|     ANT/USDT |         6 |          -1.04 |          -6.21 |           -62.106 |          -0.62 |          7:56:00 |     3     0     3  50.0 |
|    COTI/USDT |         9 |          -0.69 |          -6.21 |           -62.118 |          -0.62 |         11:44:00 |     5     0     4  55.6 |
|     DOT/USDT |         9 |          -0.70 |          -6.26 |           -62.584 |          -0.63 |         13:38:00 |     5     0     4  55.6 |
|    MASK/USDT |         9 |          -0.71 |          -6.35 |           -63.299 |          -0.63 |          1:10:00 |     5     0     4  55.6 |
|     LIT/USDT |        24 |          -0.27 |          -6.56 |           -65.569 |          -0.66 |          5:55:00 |    15     0     9  62.5 |
|     GMT/USDT |        13 |          -0.51 |          -6.66 |           -66.590 |          -0.67 |          8:20:00 |     7     0     6  53.8 |
|    DENT/USDT |         4 |          -1.74 |          -6.97 |           -69.720 |          -0.70 |          8:08:00 |     1     0     3  25.0 |
|    IOTX/USDT |         2 |          -4.04 |          -8.07 |           -80.735 |          -0.81 |          4:22:00 |     0     0     2     0 |
|    AAVE/USDT |         5 |          -1.62 |          -8.12 |           -81.171 |          -0.81 |          8:12:00 |     2     0     3  40.0 |
|    API3/USDT |         2 |          -4.07 |          -8.14 |           -81.358 |          -0.81 |          2:38:00 |     0     0     2     0 |
|    DASH/USDT |         4 |          -2.53 |         -10.11 |          -101.106 |          -1.01 |   1 day, 4:10:00 |     1     0     3  25.0 |
|     LRC/USDT |         4 |          -2.54 |         -10.17 |          -101.680 |          -1.02 |          3:45:00 |     1     0     3  25.0 |
|     EOS/USDT |        10 |          -1.02 |         -10.18 |          -101.798 |          -1.02 |         20:46:00 |     5     0     5  50.0 |
|     WOO/USDT |        13 |          -0.81 |         -10.48 |          -104.781 |          -1.05 |          5:34:00 |     7     0     6  53.8 |
