============================================================== BACKTESTING REPORT ==============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Win  Draw  Loss  Win% |
| Absolute profit Short       | 1925.92 USDT        |
|                             |                     |
| Best Pair                   | LUNA2/USDT 27.92%   |
| Worst Pair                  | SUSHI/USDT -24.55%  |
| Best trade                  | JASMY/USDT 2.17%    |
| Worst trade                 | LINA/USDT -5.35%    |
| Best day                    | 739.78 USDT         |
| Worst day                   | -569.521 USDT       |
| Days win/draw/lose          | 29 / 0 / 33         |
| Avg. Duration Winners       | 8:29:00             |
| Avg. Duration Loser         | 13:20:00            |
| Rejected Entry signals      | 0                   |
| Entry/Exit Timeouts         | 0 / 0               |
|                             |                     |
| Min balance                 | 9827.847 USDT       |
| Max balance                 | 12919.451 USDT      |
| Max % of account underwater | 12.20%              |
| Absolute Drawdown (Account) | 12.20%              |
| Absolute Drawdown           | 1568.641 USDT       |
| Drawdown high               | 2859.751 USDT       |
| Drawdown low                | 1291.111 USDT       |
| Drawdown Start              | 2022-11-10 07:05:00 |
| Drawdown End                | 2022-11-13 17:40:00 |
| Market change               | -15.73%             |
=====================================================
