============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|    REEF/USDT |        44 |          -0.02 |          -0.91 |            -9.154 |          -0.09 |         3:43:00 |    22     0    22  50.0 |
|   SUSHI/USDT |        38 |          -0.02 |          -0.94 |            -9.373 |          -0.09 |         1:52:00 |    19     0    19  50.0 |
|     SOL/USDT |        44 |          -0.02 |          -1.03 |            -9.833 |          -0.10 |         3:24:00 |    22     0    22  50.0 |
|     XLM/USDT |        16 |          -0.08 |          -1.33 |           -13.292 |          -0.13 |         7:07:00 |     8     0     8  50.0 |
|     ICX/USDT |         3 |          -0.71 |          -2.12 |           -21.150 |          -0.21 |        13:25:00 |     1     0     2  33.3 |
|     VET/USDT |         9 |          -0.24 |          -2.12 |           -21.162 |          -0.21 |         4:51:00 |     4     0     5  44.4 |
|     SXP/USDT |         5 |          -0.42 |          -2.12 |           -21.235 |          -0.21 |         3:39:00 |     2     0     3  40.0 |
|    ALGO/USDT |         9 |          -0.24 |          -2.14 |           -21.434 |          -0.21 |         3:52:00 |     4     0     5  44.4 |
|   SPELL/USDT |        15 |          -0.15 |          -2.28 |           -22.829 |          -0.23 |         8:11:00 |     7     0     8  46.7 |
|    BAKE/USDT |        11 |          -0.21 |          -2.29 |           -22.864 |          -0.23 |         3:31:00 |     5     0     6  45.5 |
|     BAL/USDT |        15 |          -0.15 |          -2.29 |           -22.880 |          -0.23 |         2:08:00 |     7     0     8  46.7 |
|    ARPA/USDT |        21 |          -0.11 |          -2.38 |           -23.782 |          -0.24 |         9:24:00 |    10     0    11  47.6 |
|      AR/USDT |        19 |          -0.13 |          -2.40 |           -23.953 |          -0.24 |         4:59:00 |     9     0    10  47.4 |
|     SNX/USDT |        35 |          -0.07 |          -2.43 |           -24.355 |          -0.24 |         2:53:00 |    17     0    18  48.6 |
|    LINK/USDT |        21 |          -0.12 |          -2.45 |           -24.500 |          -0.25 |         3:53:00 |    10     0    11  47.6 |
|     STG/USDT |        29 |          -0.10 |          -2.80 |           -27.926 |          -0.28 |         4:27:00 |    14     0    15  48.3 |
|     BNX/USDT |        44 |          -0.07 |          -3.01 |           -29.486 |          -0.29 |        14:18:00 |    22     0    22  50.0 |
|    ANKR/USDT |         9 |          -0.36 |          -3.28 |           -32.807 |          -0.33 |         5:33:00 |     4     0     5  44.4 |
|     RLC/USDT |        15 |          -0.27 |          -3.98 |           -39.799 |          -0.40 |         3:46:00 |     7     0     8  46.7 |
|    QTUM/USDT |         4 |          -1.03 |          -4.10 |           -41.025 |          -0.41 |         4:19:00 |     1     0     3  25.0 |
|     ENJ/USDT |         6 |          -0.69 |          -4.15 |           -41.510 |          -0.42 |         3:27:00 |     2     0     4  33.3 |
|     SKL/USDT |         8 |          -0.52 |          -4.16 |           -41.577 |          -0.42 |         3:51:00 |     3     0     5  37.5 |
|     GAL/USDT |         6 |          -0.69 |          -4.17 |           -41.605 |          -0.42 |         0:51:00 |     2     0     4  33.3 |
|    API3/USDT |         6 |          -0.70 |          -4.22 |           -42.160 |          -0.42 |         0:46:00 |     2     0     4  33.3 |
|     YFI/USDT |        14 |          -0.31 |          -4.28 |           -42.516 |          -0.43 |         6:52:00 |     6     0     8  42.9 |
|    IOTA/USDT |        14 |          -0.30 |          -4.26 |           -42.605 |          -0.43 |         3:13:00 |     6     0     8  42.9 |
|    AAVE/USDT |        12 |          -0.36 |          -4.27 |           -42.701 |          -0.43 |         5:08:00 |     5     0     7  41.7 |
|    HBAR/USDT |        10 |          -0.43 |          -4.28 |           -42.776 |          -0.43 |         6:13:00 |     4     0     6  40.0 |
|    ATOM/USDT |        18 |          -0.24 |          -4.32 |           -43.212 |          -0.43 |         3:31:00 |     8     0    10  44.4 |
|     ANT/USDT |        16 |          -0.27 |          -4.36 |           -43.590 |          -0.44 |         4:21:00 |     7     0     9  43.8 |
|     HNT/USDT |        24 |          -0.18 |          -4.43 |           -44.276 |          -0.44 |         3:02:00 |    11     0    13  45.8 |
|    CELR/USDT |         5 |          -1.22 |          -6.08 |           -60.774 |          -0.61 |         1:03:00 |     1     0     4  20.0 |
|     ATA/USDT |        21 |          -0.30 |          -6.36 |           -63.584 |          -0.64 |         4:32:00 |     9     0    12  42.9 |
|    LINA/USDT |        15 |          -0.43 |          -6.42 |           -64.220 |          -0.64 |         1:36:00 |     6     0     9  40.0 |
|     DGB/USDT |         7 |          -0.92 |          -6.45 |           -64.460 |          -0.64 |         5:41:00 |     2     0     5  28.6 |
|    KLAY/USDT |        21 |          -0.31 |          -6.48 |           -64.787 |          -0.65 |         1:28:00 |     9     0    12  42.9 |
|    DYDX/USDT |        39 |          -0.17 |          -6.54 |           -65.369 |          -0.65 |         1:30:00 |    18     0    21  46.2 |
|     NKN/USDT |        14 |          -0.48 |          -6.69 |           -66.833 |          -0.67 |         3:09:00 |     5     0     9  35.7 |
|     AXS/USDT |        10 |          -0.79 |          -7.93 |           -79.176 |          -0.79 |         8:49:00 |     3     0     7  30.0 |
|    ROSE/USDT |         4 |          -2.03 |          -8.13 |           -81.341 |          -0.81 |         3:09:00 |     0     0     4     0 |
|     ICP/USDT |         6 |          -1.37 |          -8.20 |           -81.718 |          -0.82 |         5:13:00 |     1     0     5  16.7 |
|    FLOW/USDT |         8 |          -1.03 |          -8.22 |           -82.187 |          -0.82 |         6:04:00 |     2     0     6  25.0 |
|    GALA/USDT |        12 |          -0.69 |          -8.28 |           -82.744 |          -0.83 |         3:36:00 |     4     0     8  33.3 |
|     LRC/USDT |        12 |          -0.70 |          -8.37 |           -83.705 |          -0.84 |         2:05:00 |     4     0     8  33.3 |
|     DOT/USDT |        20 |          -0.42 |          -8.49 |           -84.905 |          -0.85 |         3:59:00 |     8     0    12  40.0 |
|    UNFI/USDT |        20 |          -0.43 |          -8.53 |           -85.248 |          -0.85 |         2:54:00 |     8     0    12  40.0 |
|   1INCH/USDT |        22 |          -0.39 |          -8.59 |           -85.893 |          -0.86 |        10:11:00 |     9     0    13  40.9 |
|   JASMY/USDT |        26 |          -0.34 |          -8.75 |           -87.443 |          -0.87 |         4:42:00 |    11     0    15  42.3 |
|     CRV/USDT |        22 |          -0.41 |          -8.93 |           -89.289 |          -0.89 |         3:57:00 |     9     0    13  40.9 |
|    NEAR/USDT |        19 |          -0.48 |          -9.04 |           -90.484 |          -0.90 |         4:13:00 |     7     0    12  36.8 |
|     EOS/USDT |        21 |          -0.49 |         -10.23 |          -102.268 |          -1.02 |         9:11:00 |     8     0    13  38.1 |
|     APE/USDT |        21 |          -0.50 |         -10.49 |          -104.611 |          -1.05 |         2:42:00 |     8     0    13  38.1 |
|     ADA/USDT |        21 |          -0.50 |         -10.48 |          -104.809 |          -1.05 |         6:14:00 |     8     0    13  38.1 |
|     ENS/USDT |        25 |          -0.42 |         -10.56 |          -105.572 |          -1.06 |         2:52:00 |    10     0    15  40.0 |
|     CHZ/USDT |        31 |          -0.34 |         -10.63 |          -106.295 |          -1.06 |         2:34:00 |    13     0    18  41.9 |
|     XMR/USDT |        22 |          -0.57 |         -12.46 |          -124.620 |          -1.25 |        13:48:00 |     8     0    14  36.4 |
|     CTK/USDT |        18 |          -0.70 |         -12.64 |          -126.373 |          -1.26 |         6:54:00 |     6     0    12  33.3 |
|     LTC/USDT |        36 |          -0.36 |         -12.79 |          -127.904 |          -1.28 |         4:46:00 |    15     0    21  41.7 |
|   LUNA2/USDT |        38 |          -0.34 |         -12.85 |          -128.402 |          -1.28 |         5:05:00 |    16     0    22  42.1 |
|     BCH/USDT |        14 |          -1.11 |         -15.55 |          -155.441 |          -1.55 |         4:32:00 |     3     0    11  21.4 |
|   MATIC/USDT |        24 |          -0.69 |         -16.64 |          -166.323 |          -1.66 |         3:24:00 |     8     0    16  33.3 |
|     GTC/USDT |        15 |          -1.24 |         -18.56 |          -185.606 |          -1.86 |         3:33:00 |     3     0    12  20.0 |
|     ETH/USDT |        39 |          -0.48 |         -18.89 |          -188.788 |          -1.89 |         9:21:00 |    15     0    24  38.5 |
|     MKR/USDT |        46 |          -0.46 |         -20.94 |          -209.246 |          -2.09 |         4:31:00 |    18     0    28  39.1 |
|     ETC/USDT |        33 |          -0.69 |         -22.92 |          -229.148 |          -2.29 |         3:35:00 |    11     0    22  33.3 |
|     XRP/USDT |        46 |          -0.55 |         -25.08 |          -250.836 |          -2.51 |         6:06:00 |    17     0    29  37.0 |
|        TOTAL |      2268 |          -0.04 |         -95.93 |          -957.576 |          -9.58 |         5:32:00 |  1122     0  1146  49.5 |
=========================================================== ENTER TAG STATS ===========================================================
|   TAG |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| TOTAL |      2268 |          -0.04 |         -95.93 |          -957.576 |          -9.58 |        5:32:00 |  1122     0  1146  49.5 |
===================================================== EXIT REASON STATS =====================================================
|   Exit Reason |   Exits |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|---------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
|     stop_loss |    1143 |      0     0  1143     0 |          -2.04 |       -2331.38 |        -23291.5   |        -233.14 |
|           roi |    1117 |   1117     0     0   100 |           2    |        2234.83 |         22327.7   |         223.48 |
|    force_exit |       8 |      5     0     3  62.5 |           0.08 |           0.62 |             6.192 |           0.06 |
========================================================= LEFT OPEN TRADES REPORT =========================================================
|      Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-----------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|  XLM/USDT |         1 |           0.96 |           0.96 |             9.636 |           0.10 |       23:25:00 |     1     0     0   100 |
| ANKR/USDT |         1 |           0.84 |           0.84 |             8.440 |           0.08 |        3:10:00 |     1     0     0   100 |
|  RLC/USDT |         1 |           0.39 |           0.39 |             3.856 |           0.04 |        1:05:00 |     1     0     0   100 |
|  IMX/USDT |         1 |           0.37 |           0.37 |             3.654 |           0.04 |        5:10:00 |     1     0     0   100 |
|  BNX/USDT |         1 |           0.06 |           0.06 |             0.597 |           0.01 |        5:15:00 |     1     0     0   100 |
|  NKN/USDT |         1 |          -0.35 |          -0.35 |            -3.514 |          -0.04 |        0:40:00 |     0     0     1     0 |
| NEAR/USDT |         1 |          -0.56 |          -0.56 |            -5.601 |          -0.06 |        1:05:00 |     0     0     1     0 |
|  BCH/USDT |         1 |          -1.09 |          -1.09 |           -10.876 |          -0.11 |       17:10:00 |     0     0     1     0 |
|     TOTAL |         8 |           0.08 |           0.62 |             6.192 |           0.06 |        7:08:00 |     5     0     3  62.5 |
================== SUMMARY METRICS ==================
| Metric                      | Value               |
|-----------------------------+---------------------|
| Backtesting from            | 2022-10-01 00:00:00 |
| Backtesting to              | 2022-12-01 00:00:00 |
| Max open trades             | 10                  |
|                             |                     |
| Total/Daily Avg Trades      | 2268 / 37.18        |
| Starting balance            | 10000 USDT          |
| Final balance               | 9042.424 USDT       |
| Absolute profit             | -957.576 USDT       |
| Total profit %              | -9.58%              |
| CAGR %                      | -45.24%             |
| Profit factor               | 0.96                |
| Trades per day              | 37.18               |
| Avg. daily profit %         | -0.16%              |
| Avg. stake amount           | 999.072 USDT        |
| Total trade volume          | 2265894.245 USDT    |
|                             |                     |
| Long / Short                | 1091 / 1177         |
| Total profit Long %         | -6.72%              |
| Total profit Short %        | -2.85%              |
| Absolute profit Long        | -672.146 USDT       |
| Absolute profit Short       | -285.43 USDT        |
|                             |                     |
| Best Pair                   | INJ/USDT 25.76%     |
| Worst Pair                  | XRP/USDT -25.08%    |
| Best trade                  | CELO/USDT 2.75%     |
| Worst trade                 | BTCDOM/USDT -2.74%  |
| Best day                    | 488.13 USDT         |
| Worst day                   | -475.328 USDT       |
| Days win/draw/lose          | 26 / 0 / 36         |
| Avg. Duration Winners       | 5:31:00             |
| Avg. Duration Loser         | 5:32:00             |
| Rejected Entry signals      | 644240              |
| Entry/Exit Timeouts         | 0 / 0               |
|                             |                     |
| Min balance                 | 8570.121 USDT       |
| Max balance                 | 10903.306 USDT      |
| Max % of account underwater | 21.40%              |
| Absolute Drawdown (Account) | 21.40%              |
| Absolute Drawdown           | 2333.186 USDT       |
| Drawdown high               | 903.306 USDT        |
| Drawdown low                | -1429.879 USDT      |
| Drawdown Start              | 2022-10-25 18:30:00 |
| Drawdown End                | 2022-11-14 09:15:00 |
| Market change               | -15.73%             |
=====================================================

