============================================================== BACKTESTING REPORT =============================================================
|         Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|     RLC/USDT |        10 |          -0.44 |          -4.36 |           -57.767 |          -0.58 |         3:02:00 |     4     0     6  40.0 |
|     SKL/USDT |         4 |          -1.03 |          -4.11 |           -59.585 |          -0.60 |        10:16:00 |     1     0     3  25.0 |
|     AXS/USDT |        11 |          -0.53 |          -5.88 |           -62.506 |          -0.63 |         8:24:00 |     4     0     7  36.4 |
|    DYDX/USDT |        32 |          -0.14 |          -4.56 |           -68.104 |          -0.68 |         1:17:00 |    15     0    17  46.9 |
|    EGLD/USDT |         9 |          -0.69 |          -6.22 |           -69.888 |          -0.70 |         4:25:00 |     3     0     6  33.3 |
|     LRC/USDT |         7 |          -0.89 |          -6.20 |           -74.176 |          -0.74 |         3:16:00 |     2     0     5  28.6 |
|   SUSHI/USDT |        33 |          -0.21 |          -6.93 |           -75.146 |          -0.75 |         2:01:00 |    15     0    18  45.5 |
|     FIL/USDT |         5 |          -1.24 |          -6.21 |           -76.002 |          -0.76 |         9:35:00 |     1     0     4  20.0 |
|     STG/USDT |        22 |          -0.21 |          -4.67 |           -76.467 |          -0.76 |         5:07:00 |    10     0    12  45.5 |
|     CTK/USDT |        15 |          -0.43 |          -6.49 |           -81.714 |          -0.82 |         5:35:00 |     6     0     9  40.0 |
|     SFP/USDT |        16 |          -0.33 |          -5.31 |           -83.330 |          -0.83 |         1:59:00 |     7     0     9  43.8 |
|    MASK/USDT |        11 |          -0.59 |          -6.53 |           -83.336 |          -0.83 |         1:05:00 |     4     0     7  36.4 |
|     ICP/USDT |         7 |          -0.88 |          -6.19 |           -83.908 |          -0.84 |        15:17:00 |     2     0     5  28.6 |
|    ALGO/USDT |         9 |          -0.69 |          -6.18 |           -89.721 |          -0.90 |         5:02:00 |     3     0     6  33.3 |
|     BLZ/USDT |         7 |          -1.01 |          -7.04 |           -92.649 |          -0.93 |         1:22:00 |     2     0     5  28.6 |
|    LINK/USDT |        18 |          -0.47 |          -8.44 |           -96.761 |          -0.97 |         5:16:00 |     7     0    11  38.9 |
|    BAKE/USDT |         4 |          -2.06 |          -8.22 |           -97.035 |          -0.97 |         1:11:00 |     0     0     4     0 |
|     XMR/USDT |        17 |          -0.37 |          -6.34 |           -97.640 |          -0.98 |        13:05:00 |     7     0    10  41.2 |
|    FLOW/USDT |         7 |          -0.90 |          -6.28 |           -98.341 |          -0.98 |         3:07:00 |     2     0     5  28.6 |
|     ANT/USDT |        10 |          -0.82 |          -8.23 |          -102.088 |          -1.02 |         2:20:00 |     3     0     7  30.0 |
|     XRP/USDT |        42 |          -0.21 |          -8.84 |          -105.270 |          -1.05 |         8:01:00 |    19     0    23  45.2 |
|     APE/USDT |        20 |          -0.42 |          -8.46 |          -109.148 |          -1.09 |         2:06:00 |     8     0    12  40.0 |
|    NEAR/USDT |        16 |          -0.53 |          -8.42 |          -116.727 |          -1.17 |         3:28:00 |     6     0    10  37.5 |
|     BCH/USDT |         9 |          -1.14 |         -10.23 |          -120.795 |          -1.21 |         4:06:00 |     2     0     7  22.2 |
|     BTC/USDT |        48 |          -0.22 |         -10.64 |          -126.970 |          -1.27 |        18:57:00 |    22     0    26  45.8 |
|    IOTA/USDT |         5 |          -2.03 |         -10.16 |          -137.868 |          -1.38 |         4:13:00 |     0     0     5     0 |
|   JASMY/USDT |        18 |          -0.70 |         -12.63 |          -144.586 |          -1.45 |         4:17:00 |     6     0    12  33.3 |
|     DOT/USDT |        16 |          -0.77 |         -12.38 |          -151.150 |          -1.51 |         5:59:00 |     5     0    11  31.2 |
|   1INCH/USDT |        13 |          -1.11 |         -14.41 |          -189.056 |          -1.89 |         5:02:00 |     3     0    10  23.1 |
|     LTC/USDT |        23 |          -0.64 |         -14.62 |          -189.178 |          -1.89 |         4:50:00 |     8     0    15  34.8 |
|     ETH/USDT |        48 |          -0.27 |         -13.04 |          -190.827 |          -1.91 |         9:56:00 |    21     0    27  43.8 |
|     MKR/USDT |        32 |          -0.39 |         -12.62 |          -193.052 |          -1.93 |         4:17:00 |    13     0    19  40.6 |
|     ADA/USDT |        26 |          -0.64 |         -16.72 |          -218.947 |          -2.19 |         5:04:00 |     9     0    17  34.6 |
|     ENS/USDT |        30 |          -0.56 |         -16.77 |          -223.266 |          -2.23 |         4:04:00 |    11     0    19  36.7 |
|   LUNA2/USDT |        30 |          -0.69 |         -20.75 |          -257.386 |          -2.57 |         5:22:00 |    10     0    20  33.3 |
|   MATIC/USDT |        28 |          -0.74 |         -20.75 |          -284.242 |          -2.84 |         4:39:00 |     9     0    19  32.1 |
|        TOTAL |      1685 |          -0.12 |        -199.52 |         -2557.846 |         -25.58 |         5:45:00 |   804     0   881  47.7 |
=========================================================== ENTER TAG STATS ===========================================================
|   TAG |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| TOTAL |      1685 |          -0.12 |        -199.52 |         -2557.846 |         -25.58 |        5:45:00 |   804     0   881  47.7 |
===================================================== EXIT REASON STATS =====================================================
|   Exit Reason |   Exits |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|---------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
|     stop_loss |     880 |      0     0   880     0 |          -2.04 |       -1796.81 |        -23260.6   |        -256.69 |
|           roi |     798 |    798     0     0   100 |           2    |        1595.15 |         20680.3   |         227.88 |
|    force_exit |       7 |      6     0     1  85.7 |           0.31 |           2.15 |            22.469 |           0.31 |
========================================================= LEFT OPEN TRADES REPORT =========================================================
|      Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-----------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
|  BLZ/USDT |         1 |           1.17 |           1.17 |            12.302 |           0.12 |        4:05:00 |     1     0     0   100 |
|  BAT/USDT |         1 |           0.47 |           0.47 |             4.836 |           0.05 |        3:05:00 |     1     0     0   100 |
|  IMX/USDT |         1 |           0.37 |           0.37 |             3.782 |           0.04 |        5:10:00 |     1     0     0   100 |
| SAND/USDT |         1 |           0.18 |           0.18 |             1.894 |           0.02 |        0:30:00 |     1     0     0   100 |
|  BNX/USDT |         1 |           0.06 |           0.06 |             0.631 |           0.01 |        5:15:00 |     1     0     0   100 |
|  BTC/USDT |         1 |           0.04 |           0.04 |             0.448 |           0.00 |        1:00:00 |     1     0     0   100 |
| REEF/USDT |         1 |          -0.14 |          -0.14 |            -1.423 |          -0.01 |        1:00:00 |     0     0     1     0 |
|     TOTAL |         7 |           0.31 |           2.15 |            22.469 |           0.22 |        2:52:00 |     6     0     1  85.7 |
================== SUMMARY METRICS ==================
| Metric                      | Value               |
|-----------------------------+---------------------|
| Backtesting from            | 2022-10-01 00:00:00 |
| Backtesting to              | 2022-12-01 00:00:00 |
| Max open trades             | 7                   |
|                             |                     |
| Total/Daily Avg Trades      | 1685 / 27.62        |
| Starting balance            | 10000 USDT          |
| Final balance               | 7442.154 USDT       |
| Absolute profit             | -2557.846 USDT      |
| Total profit %              | -25.58%             |
| CAGR %                      | -82.93%             |
| Profit factor               | 0.89                |
| Trades per day              | 27.62               |
| Avg. daily profit %         | -0.42%              |
| Avg. stake amount           | 1294.299 USDT       |
| Total trade volume          | 2180892.976 USDT    |
|                             |                     |
| Long / Short                | 806 / 879           |
| Total profit Long %         | -9.69%              |
| Total profit Short %        | -15.89%             |
| Absolute profit Long        | -968.665 USDT       |
| Absolute profit Short       | -1589.181 USDT      |
|                             |                     |
| Best Pair                   | LDO/USDT 15.81%     |
| Worst Pair                  | MATIC/USDT -20.75%  |
| Best trade                  | AXS/USDT 2.15%      |
| Worst trade                 | BTCDOM/USDT -2.74%  |
| Best day                    | 314.601 USDT        |
| Worst day                   | -477.608 USDT       |
| Days win/draw/lose          | 28 / 0 / 34         |
| Avg. Duration Winners       | 5:48:00             |
| Avg. Duration Loser         | 5:42:00             |
| Rejected Entry signals      | 2014251             |
| Entry/Exit Timeouts         | 0 / 0               |
|                             |                     |
| Min balance                 | 7398.4 USDT         |
| Max balance                 | 10587.256 USDT      |
| Max % of account underwater | 30.12%              |
| Absolute Drawdown (Account) | 30.12%              |
| Absolute Drawdown           | 3188.856 USDT       |
| Drawdown high               | 587.256 USDT        |
| Drawdown low                | -2601.6 USDT        |
| Drawdown Start              | 2022-10-23 23:45:00 |
| Drawdown End                | 2022-11-30 22:55:00 |
| Market change               | -15.73%             |
=====================================================
