============================================================= BACKTESTING REPORT =============================================================
|        Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|    SXP/USDT |         9 |          -0.68 |          -6.09 |            -6.461 |          -0.65 |        10:04:00 |     5     0     4  55.6 |
|    ZIL/USDT |         6 |          -1.03 |          -6.18 |            -6.678 |          -0.67 |        12:06:00 |     3     0     3  50.0 |
|    C98/USDT |         6 |          -0.99 |          -5.94 |            -6.684 |          -0.67 |         6:44:00 |     3     0     3  50.0 |
|    LTC/USDT |        20 |          -0.34 |          -6.76 |            -6.737 |          -0.67 |        11:22:00 |    12     0     8  60.0 |
|   CELR/USDT |         5 |          -1.64 |          -8.19 |            -7.691 |          -0.77 |         7:06:00 |     2     0     3  40.0 |
|    YFI/USDT |        14 |          -0.59 |          -8.24 |            -8.285 |          -0.83 |         7:03:00 |     8     0     6  57.1 |
|    MTL/USDT |        18 |          -0.35 |          -6.27 |            -8.362 |          -0.84 |        13:30:00 |    11     0     7  61.1 |
|    STG/USDT |         6 |          -1.10 |          -6.61 |            -8.427 |          -0.84 |         2:52:00 |     3     0     3  50.0 |
|    BAL/USDT |         9 |          -0.69 |          -6.17 |            -8.767 |          -0.88 |         5:04:00 |     5     0     4  55.6 |
|    LIT/USDT |        15 |          -0.43 |          -6.44 |            -8.962 |          -0.90 |         5:26:00 |     9     0     6  60.0 |
|    SNX/USDT |        17 |          -0.48 |          -8.11 |            -9.523 |          -0.95 |         3:48:00 |    10     0     7  58.8 |
|   ROSE/USDT |        17 |          -0.49 |          -8.28 |            -9.927 |          -0.99 |         5:56:00 |    10     0     7  58.8 |
|  JASMY/USDT |        13 |          -0.79 |         -10.29 |           -10.401 |          -1.04 |         8:13:00 |     7     0     6  53.8 |
|   MANA/USDT |         7 |          -1.46 |         -10.19 |           -11.930 |          -1.19 |         8:01:00 |     3     0     4  42.9 |
|  WAVES/USDT |        11 |          -1.29 |         -14.15 |           -13.474 |          -1.35 |         9:29:00 |     5     0     6  45.5 |
|    GMT/USDT |        20 |          -0.73 |         -14.66 |           -13.550 |          -1.35 |         7:30:00 |    11     0     9  55.0 |
|  1INCH/USDT |         5 |          -2.83 |         -14.15 |           -14.251 |          -1.43 |         4:47:00 |     1     0     4  20.0 |
|    BCH/USDT |        18 |          -0.70 |         -12.57 |           -14.545 |          -1.45 |         6:31:00 |    10     0     8  55.6 |
|    OGN/USDT |         8 |          -1.73 |         -13.85 |           -14.927 |          -1.49 |         8:36:00 |     3     0     5  37.5 |
|   TOMO/USDT |         8 |          -1.78 |         -14.21 |           -15.279 |          -1.53 |        11:52:00 |     3     0     5  37.5 |
|    XLM/USDT |        14 |          -1.11 |         -15.49 |           -16.498 |          -1.65 |        23:18:00 |     7     0     7  50.0 |
|    ENJ/USDT |        10 |          -1.62 |         -16.24 |           -16.616 |          -1.66 |         6:17:00 |     4     0     6  40.0 |
|   COTI/USDT |         8 |          -1.77 |         -14.16 |           -16.859 |          -1.69 |        10:19:00 |     3     0     5  37.5 |
|    FLM/USDT |        13 |          -1.26 |         -16.34 |           -17.394 |          -1.74 |         3:58:00 |     6     0     7  46.2 |
|   FLOW/USDT |        14 |          -1.45 |         -20.35 |           -21.834 |          -2.18 |         4:57:00 |     6     0     8  42.9 |
|    ETC/USDT |        19 |          -1.18 |         -22.45 |           -24.681 |          -2.47 |         4:45:00 |     9     0    10  47.4 |
|   DYDX/USDT |        24 |          -1.01 |         -24.33 |           -26.133 |          -2.61 |         3:52:00 |    12     0    12  50.0 |
|       TOTAL |      1602 |           0.16 |         255.80 |           266.554 |          26.66 |         8:32:00 |  1112     0   490  69.4 |
=========================================================== ENTER TAG STATS ===========================================================
|   TAG |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |   Avg Duration |   Win  Draw  Loss  Win% |
|-------+-----------+----------------+----------------+-------------------+----------------+----------------+-------------------------|
| TOTAL |      1602 |           0.16 |         255.80 |           266.554 |          26.66 |        8:32:00 |  1112     0   490  69.4 |
===================================================== EXIT REASON STATS =====================================================
|   Exit Reason |   Exits |   Win  Draws  Loss  Win% |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |
|---------------+---------+--------------------------+----------------+----------------+-------------------+----------------|
|           roi |    1109 |   1109     0     0   100 |           2    |        2217.52 |          2374.39  |         221.75 |
|     stop_loss |     483 |      0     0   483     0 |          -4.04 |       -1952.56 |         -2096.32  |        -195.26 |
|    force_exit |      10 |      3     0     7  30.0 |          -0.92 |          -9.16 |           -11.517 |          -0.92 |
========================================================== LEFT OPEN TRADES REPORT ==========================================================
|       Pair |   Entries |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Win  Draw  Loss  Win% |
|------------+-----------+----------------+----------------+-------------------+----------------+-----------------+-------------------------|
|   XLM/USDT |         1 |           0.54 |           0.54 |             0.688 |           0.07 |        11:05:00 |     1     0     0   100 |
|   XRP/USDT |         1 |           0.17 |           0.17 |             0.220 |           0.02 |         2:45:00 |     1     0     0   100 |
|   BTC/USDT |         1 |           0.01 |           0.01 |             0.013 |           0.00 | 1 day, 16:25:00 |     1     0     0   100 |
|   ADA/USDT |         1 |          -0.24 |          -0.24 |            -0.304 |          -0.03 |         0:45:00 |     0     0     1     0 |
| THETA/USDT |         1 |          -0.77 |          -0.77 |            -0.961 |          -0.10 | 1 day, 16:30:00 |     0     0     1     0 |
|   XEM/USDT |         1 |          -1.18 |          -1.18 |            -1.470 |          -0.15 |        21:10:00 |     0     0     1     0 |
|   RSR/USDT |         1 |          -1.70 |          -1.70 |            -2.149 |          -0.21 |        13:25:00 |     0     0     1     0 |
|   XMR/USDT |         1 |          -1.72 |          -1.72 |            -2.164 |          -0.22 | 1 day, 16:40:00 |     0     0     1     0 |
| OCEAN/USDT |         1 |          -1.85 |          -1.85 |            -2.330 |          -0.23 |         2:45:00 |     0     0     1     0 |
|   LTC/USDT |         1 |          -2.42 |          -2.42 |            -3.060 |          -0.31 |         3:35:00 |     0     0     1     0 |
|      TOTAL |        10 |          -0.92 |          -9.16 |           -11.517 |          -1.15 |        17:42:00 |     3     0     7  30.0 |
================== SUMMARY METRICS ==================
| Metric                      | Value               |
|-----------------------------+---------------------|
| Backtesting from            | 2022-07-01 00:00:00 |
| Backtesting to              | 2022-09-03 11:15:00 |
| Max open trades             | 10                  |
|                             |                     |
| Total/Daily Avg Trades      | 1602 / 25.03        |
| Starting balance            | 1000 USDT           |
| Final balance               | 1266.554 USDT       |
| Absolute profit             | 266.554 USDT        |
| Total profit %              | 26.66%              |
| CAGR %                      | 284.84%             |
| Profit factor               | 1.13                |
| Trades per day              | 25.03               |
| Avg. daily profit %         | 0.42%               |
| Avg. stake amount           | 107.269 USDT        |
| Total trade volume          | 171845.64 USDT      |
|                             |                     |
| Long / Short                | 824 / 778           |
| Total profit Long %         | 19.53%              |
| Total profit Short %        | 7.13%               |
| Absolute profit Long        | 195.266 USDT        |
| Absolute profit Short       | 71.288 USDT         |
|                             |                     |
| Best Pair                   | MASK/USDT 27.92%    |
| Worst Pair                  | DYDX/USDT -24.33%   |
| Best trade                  | BTCDOM/USDT 2.36%   |
| Worst trade                 | STG/USDT -4.54%     |
| Best day                    | 37.241 USDT         |
| Worst day                   | -43.181 USDT        |
| Days win/draw/lose          | 34 / 0 / 29         |
| Avg. Duration Winners       | 7:20:00             |
| Avg. Duration Loser         | 11:16:00            |
| Rejected Entry signals      | 1529424             |
| Entry/Exit Timeouts         | 0 / 0               |
|                             |                     |
| Min balance                 | 980.364 USDT        |
| Max balance                 | 1309.574 USDT       |
| Max % of account underwater | 7.93%               |
| Absolute Drawdown (Account) | 7.93%               |
| Absolute Drawdown           | 84.437 USDT         |
| Drawdown high               | 64.8 USDT           |
| Drawdown low                | -19.636 USDT        |
| Drawdown Start              | 2022-07-05 09:25:00 |
| Drawdown End                | 2022-07-25 16:25:00 |
| Market change               | 9.21%               |
=====================================================

